iter	R2	RMSE
773	0.966483262	17009.67172
774	0.9665497685	16992.78741
775	0.9665820644	16984.58223
776	0.9666430161	16969.08589
777	0.9666805959	16959.52453
778	0.9667296462	16947.0367
779	0.966809142	16926.77804
780	0.9668807532	16908.50793
781	0.966933572	16895.01966
782	0.9669789995	16883.41026
783	0.9670269591	16871.1451
784	0.9671194638	16847.46279
785	0.9671458107	16840.71155
786	0.9671804132	16831.84079
787	0.9672061085	16825.25044
788	0.967277838	16806.8396
789	0.9673186242	16796.36197
790	0.9673640501	16784.68476
791	0.9674403527	16765.05204
792	0.9674937825	16751.29082
793	0.9675402839	16739.30483
794	0.9676132788	16720.47271
795	0.9676450288	16712.27481
796	0.9676871308	16701.39784
797	0.9677432924	16686.87753
798	0.967833078	16663.63764
799	0.9678582688	16657.11147
800	0.9679632515	16629.88613
801	0.9680175679	16615.78268
802	0.9680458565	16608.43267
803	0.9681132626	16590.90599
804	0.9681904116	16570.82324
805	0.9682361189	16558.91361
806	0.968290009	16544.86087
807	0.9683451644	16530.46579
808	0.968384953	16520.07352
809	0.9684509656	16502.81745
810	0.9685249401	16483.45864
811	0.9685768544	16469.8593
812	0.9686093866	16461.3315
813	0.968687355	16440.87537
814	0.9687356583	16428.18951
815	0.9687899414	16413.92151
816	0.9688447226	16399.50997
817	0.9688760104	16391.27327
818	0.9688988025	16385.27049
819	0.9689624768	16368.4889
820	0.9690353867	16349.25209
821	0.969079105	16337.70643
822	0.9691023135	16331.57393
823	0.9691264849	16325.18455
824	0.969173962	16312.62734
825	0.9692397639	16295.2074
826	0.9692862211	16282.89742
827	0.9693774136	16258.70661
828	0.9694587292	16237.10548
829	0.9695062645	16224.46462
830	0.9695410377	16215.21127
831	0.9696199485	16194.19307
832	0.9696669214	16181.66869
833	0.9697004115	16172.73331
834	0.9697251454	16166.13096
835	0.9697641461	16155.71484
836	0.9698019779	16145.60447
837	0.9698495682	16132.8772
838	0.969940561	16108.51461
839	0.9700133829	16088.99057
840	0.9700674505	16074.47933
841	0.9700807156	16070.9171
842	0.9700960477	16066.79882
843	0.9701446123	16053.74711
844	0.9701923203	16040.91529
845	0.9702059054	16037.25948
846	0.970242146	16027.50292
847	0.9702839279	16016.24715
848	0.9703249443	16005.1899
849	0.9704025505	15984.2478
850	0.970440449	15974.01091
851	0.970488186	15961.10713
852	0.9705271892	15950.55643
853	0.9705598741	15941.70953
854	0.9706159828	15926.51095
855	0.9707133761	15900.09485
856	0.9707518284	15889.6533
857	0.9708242661	15869.96447
858	0.9709079262	15847.19494
859	0.97094461	15837.20047
860	0.9709774932	15828.23614
861	0.9709968228	15822.9643
862	0.9710602978	15805.64011
863	0.9711058829	15793.18688
864	0.9711596759	15778.47872
865	0.9712216357	15761.52056
866	0.9712953838	15741.31219
